"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 28 16:21:27 GMT 2024","Thu Mar 28 16:21:27 GMT 2024","2","Smoke Tests Run","Chrome","com.google.tests.N_0001_SearchResultsClickingSearchButtonUnderSearchFieldTest","com.google.tests.N_0001_SearchResultsClickingSearchButtonUnderSearchFieldTest","goToPage","goToPage",""
"skipped","Thu Mar 28 16:21:27 GMT 2024","Thu Mar 28 16:21:27 GMT 2024","1","Smoke Tests Run","Chrome","com.google.tests.N_0001_SearchResultsClickingSearchButtonUnderSearchFieldTest","com.google.tests.N_0001_SearchResultsClickingSearchButtonUnderSearchFieldTest","searchResultsClickingSearchButtonUnderSearchField","searchResultsClickingSearchButtonUnderSearchField","This test attempts to google search 'Selenium' word. Fails if any error happens.

Note that this test doesn't test other search."
